target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
best_pair_gamma,gamma,0.9737338111721767,0.9737338111721767,positive,very_strong
best_pair_gamma,gamma_mean(t),0.9735970500076621,0.9735970500076621,positive,very_strong
best_pair_gamma,fluidity,-0.8827351180170722,0.8827351180170722,negative,strong
best_pair_gamma,variance_d2S,0.882629840990971,0.882629840990971,positive,strong
best_pair_gamma,effort(t),0.8128171547420477,0.8128171547420477,positive,strong
best_pair_gamma,best_pair_score,-0.6887247095012632,0.6887247095012632,negative,moderate
best_pair_gamma,autocorr_tau,-0.6686058686232504,0.6686058686232504,negative,moderate
best_pair_gamma,decorrelation_time,-0.6466499901512205,0.6466499901512205,negative,moderate
best_pair_gamma,tau_S,-0.6466499901512205,0.6466499901512205,negative,moderate
best_pair_gamma,tau_f_mean,-0.6462422884619687,0.6462422884619687,negative,moderate
best_pair_gamma,mean_high_effort,0.560357632673398,0.560357632673398,positive,moderate
best_pair_gamma,An_mean(t),0.547685050736891,0.547685050736891,positive,moderate
best_pair_gamma,E(t),0.5475058421855618,0.5475058421855618,positive,moderate
best_pair_gamma,std_S,0.5113400825370175,0.5113400825370175,positive,moderate
best_pair_gamma,fn_mean(t),0.4272871222089407,0.4272871222089407,positive,weak
best_pair_gamma,tau_gamma,-0.35924229700055044,0.35924229700055044,negative,weak
best_pair_gamma,On_mean(t),0.35676737822896126,0.35676737822896126,positive,weak
best_pair_gamma,S(t),-0.34059089193060316,0.34059089193060316,negative,weak
best_pair_gamma,continuous_resilience,-0.31933235565527923,0.31933235565527923,negative,weak
